Principal Component 21,46 00,43 00,45 00,08 48,30 40,01 00,00 01,00 74,75 08,40 04,04 02,00 33,23 45,13 31,01 45,00 48,31 40,20 00,00 59,45 33,24 08,00 75,08 00,04 01,21 45,33 09,03 45,45 50,03 00,09 00,55 08,03 31,59 59,72 44,56 56,08 01,00 44,03 55,04 03,57 57,42 08,00 50,33 45,44 24,45 44,75 05,00 41,00 03,00 02,50 04,40 08,45 45,66 28,49 00,29 45,66 39,46 04,00 45,08 50,57 58,51 51,50 01,44 00,00 08,05 66,00 30,00 29,50 68,58 75,28 43,44 40,05 03,31 45,02 00,75 04,70 41,66 72,33 40,55 40,50 57,03 44,32 40,72 42,00 40,10 33,53 53,51 56,51 50,59 74,00 51,01 75,50 50,11 00,59 75,56 40,66 47,73 42,75 03,01 44,53 57
Principal Component 22,43 00,30 40,01 00,31 40,75 08,58 55,55 46,08 00,03 00,44 00,24 04,44 24,00 66,01 48,01 10,05 00,00 33,09 00,33 40,00 48,00 49,59 59,10 33,00 44,00 01,00 10,45 50,69 00,00 29,14 00,50 68,00 30,00 59,24 44,24 24,02 00,00 74,54 24,64 24,66 39,72 44,00 69,04 00,42 08,45 44,72 42,66 41,53 56,56 57,05 66,51 66,69 01,75 05,45 45,73 42,57 58,24 10,50 50,58 75,66 44,04 01,74 03,00 51,41 08,47 00,69 42,44 40,01 66,68 39,48 01,51 51,50 01,66 28,45 33,45 48,59 00,02 48,01 51,08 01,05 03,28 43,11 00,24 64,00 31,68 42,00 75,70 41,57 48,32 40,75 04,24 00,59 47,24 48,76 66,48 69,57 66,51 53,75 24,00 02,75 68
Principal Component 23,74 24,24 48,24 08,43 00,24 04,24 10,65 48,49 00,00 48,54 24,00 01,74 05,48 39,00 56,40 00,40 53,45 50,28 00,75 08,68 00,56 42,00 53,05 03,05 01,75 05,64 64,34 24,42 00,53 55,55 56,00 68,08 41,46 04,51 66,57 57,00 50,69 01,69 00,66 66,66 39,00 55,05 66,58 75,00 74,48 03,74 03,00 03,45 44,41 43,76 66,45 45,41 32,00 08,14 00,00 57,70 41,39 74,32 40,50 57,00 59,10 00,47 00,44 40,74 08,50 50,40 32,56 53,00 04,75 56,55 55,64 24,75 20,38 48,18 00,48 30,01 74,59 59,53 48,01 00,53 56,74 02,52 52,48 48,57 58,48 55,75 66,66 74,45 40,44 72,75 04,02 75,08 74,02 74,53 40,05 44,66 24,50 56,40 50,28 43,74 01
Principal Component 24,24 48,44 00,02 00,65 48,24 08,03 00,48 48,01 48,48 39,31 40,46 00,45 00,24 10,28 00,72 42,72 48,11 00,73 42,09 00,58 48,01 00,78 48,69 42,66 44,66 66,00 66,03 48,00 10,68 42,24 04,33 40,38 48,66 42,69 00,48 55,00 30,64 24,05 00,00 69,68 48,05 48,48 72,39 41,48 08,59 00,14 00,54 24,40 48,41 00,74 40,53 00,40 38,57 00,57 48,00 44,44 38,64 00,00 20,42 48,01 74,41 08,00 70,30 48,48 30,24 00,41 75,63 00,69 01,72 40,00 33,24 02,68 39,48 21,59 42,77 68,00 40,34 24,08 50,40 72,48 00,77 40,35 48,00 31,66 00,00 42,42 18,70 00,44 39,13 00,01 49,00 65,40 49,41 38,18 00,76 40,05 68,48 43,74 41,56 48,19 40
Principal Component 25,08 48,55 48,24 04,24 08,57 48,43 00,40 00,40 55,04 00,53 48,03 00,47 00,24 20,72 42,02 00,73 42,30 48,69 42,41 08,34 24,05 00,48 03,08 00,75 05,66 41,40 53,42 08,09 00,02 48,48 08,03 48,03 45,08 50,75 08,56 53,66 28,50 08,08 57,50 48,04 48,35 48,74 05,40 48,00 42,66 42,68 42,19 40,41 32,20 00,05 48,05 01,41 75,64 64,08 41,58 55,57 56,51 66,00 09,59 47,00 76,01 01,48 39,41 00,40 04,55 46,64 02,09 48,49 08,08 01,02 50,40 08,59 42,48 74,75 24,38 48,75 20,02 74,40 32,45 50,01 74,03 50,28 43,48 75,74 48,13 31,74 03,03 75,48 48,52 40,59 33,51 40,73 08,76 66,01 42,56 40,39 41,66 40,35 50,55 40,58 40
Principal Component 26,08 48,45 00,02 00,01 48,53 40,49 00,57 48,40 50,48 00,55 48,54 24,42 00,05 00,24 24,00 01,00 53,53 48,41 08,02 48,42 08,09 48,10 72,24 20,00 50,50 42,53 55,24 53,24 44,72 40,48 01,53 56,24 10,03 48,48 08,69 00,56 42,55 68,53 57,40 53,00 03,53 00,53 50,24 01,66 28,59 50,44 72,40 08,56 57,59 64,50 52,04 48,24 64,00 64,09 00,00 55,55 56,40 42,08 01,00 68,33 05,44 00,24 02,66 44,66 45,00 56,24 74,00 59,46 04,50 51,51 51,74 24,72 48,50 57,57 57,68 00,40 38,53 58,50 53,75 04,48 69,53 01,74 04,00 02,48 05,66 47,44 39,52 51,68 45,57 00,39 75,44 24,55 54,50 45,24 66,57 58,57 50,00 33,04 66,45 40,00 51
Principal Component 27,45 00,00 45,24 08,44 00,53 58,43 00,48 03,24 04,59 64,04 00,55 68,55 54,55 46,59 59,00 64,50 52,45 33,53 56,57 58,58 55,56 58,00 59,40 00,08 50,44 72,51 51,52 50,00 09,57 50,40 55,52 59,68 45,56 57,03 45,05 01,32 45,29 47,64 64,40 53,00 50,72 42,74 45,34 24,73 42,20 00,46 04,00 10,50 29,10 72,55 48,00 48,35 68,55 08,65 48,69 42,49 03,41 23,53 29,24 10,41 33,35 50,64 45,41 41,78 45,55 00,51 58,78 00,59 58,38 48,52 54,72 44,03 44,29 45,59 74,08 41,44 03,41 75,52 51,57 52,24 48,28 00,40 04,66 00,10 01,52 58,49 74,00 42,77 00,48 33,51 52,01 75,40 41,50 00,21 45,00 52,57 59,45 03,02 50,53 48,40 45
Principal Component 28,02 00,03 00,00 44,00 41,48 48,24 40,00 01,42 48,54 24,04 00,66 66,48 55,43 00,45 50,00 45,45 31,48 00,01 48,00 59,38 48,08 50,40 48,40 72,48 31,00 40,00 74,01 74,45 33,40 00,66 38,74 41,45 00,00 04,44 24,42 40,48 42,56 00,00 03,57 58,45 45,57 53,58 75,45 44,41 75,24 50,05 03,46 04,55 40,19 40,59 59,44 40,58 48,35 48,48 39,05 66,74 04,00 08,58 00,57 00,55 55,32 40,55 00,35 50,44 38,74 08,04 03,56 56,57 57,05 41,53 40,54 00,70 41,59 74,66 39,02 75,78 48,11 00,74 09,00 72,01 41,57 55,00 79,38 00,24 44,55 54,39 75,49 01,41 01,00 02,01 75,49 31,41 31,50 40,00 39,79 48,08 41,57 40,75 30,64 02,45 66
Principal Component 29,49 00,48 00,72 42,73 42,44 00,69 42,54 24,56 56,24 04,68 42,00 01,00 50,00 59,66 42,20 00,57 57,46 04,59 00,05 01,64 64,75 08,53 00,45 50,59 59,55 00,33 24,01 00,53 53,45 33,00 69,00 68,50 41,24 08,08 50,57 50,52 50,00 33,24 20,54 00,14 00,59 42,72 47,00 48,01 01,56 00,57 58,00 42,57 33,45 44,45 00,50 52,50 43,69 00,68 00,77 68,00 40,00 64,02 50,00 45,00 10,51 43,40 04,48 01,05 03,53 58,40 00,45 40,00 09,00 41,53 33,15 33,48 03,55 46,66 00,74 00,08 75,00 52,48 08,59 64,50 53,50 04,55 68,58 55,00 31,57 48,03 43,57 00,45 45,35 48,04 03,56 57,51 50,45 48,48 69,52 03,52 00,63 00,01 42,31 48,42 48
Principal Component 30,49 00,24 04,72 40,34 24,01 00,45 00,66 66,38 48,48 00,56 53,40 48,08 00,42 00,57 56,01 10,00 74,48 55,00 75,48 48,40 08,44 72,04 02,55 46,40 04,58 55,04 01,31 40,24 40,30 48,04 00,50 08,01 45,40 42,51 66,41 08,00 29,23 45,00 45,33 40,56 42,58 48,03 31,50 04,00 20,50 43,03 55,55 08,34 00,00 30,24 08,10 33,13 31,65 48,68 45,74 08,00 03,50 48,78 48,68 48,48 05,03 45,59 47,50 41,31 41,76 66,33 45,72 47,33 05,51 51,01 49,35 68,53 68,53 56,53 50,04 04,50 68,73 40,01 74,74 21,64 24,05 00,53 57,51 43,00 10,03 01,00 44,03 42,48 43,00 56,15 50,48 33,74 53,55 31,29 00,74 50,08 74,03 04,04 74,57 47,09 48
Principal Component 31,49 00,72 40,40 55,45 00,03 00,00 66,05 00,66 41,09 00,55 48,43 00,44 24,69 00,66 44,44 72,00 49,00 03,04 00,41 33,19 00,08 00,00 69,51 66,13 00,14 00,00 56,33 24,48 39,03 48,18 00,44 33,41 41,53 00,00 45,00 72,00 57,41 00,41 03,74 03,00 05,50 43,45 33,68 45,08 57,03 49,00 55,50 41,29 47,70 41,24 48,56 42,35 68,59 00,40 42,03 50,42 00,43 03,73 40,02 00,48 03,00 20,00 76,41 56,75 20,08 56,44 38,11 00,57 41,73 03,03 75,28 00,48 08,00 41,03 45,75 56,64 00,53 53,56 56,75 48,00 29,48 33,10 01,33 48,24 50,03 04,40 66,28 43,74 50,00 39,28 75,40 00,47 53,74 45,49 73,50 66,45 29,51 43,40 41,76 66,75 68
Principal Component 32,24 20,03 00,41 08,54 24,34 24,74 24,56 53,08 00,00 66,40 55,49 00,57 56,45 00,44 00,69 01,55 57,08 41,41 33,24 00,55 48,24 24,31 40,13 00,02 48,24 10,00 68,18 00,30 40,44 33,00 03,66 41,00 50,01 10,19 00,04 00,14 00,66 39,00 31,46 00,42 08,20 00,78 00,01 48,77 00,48 33,24 50,40 08,55 31,44 73,02 00,10 33,73 08,03 03,53 58,00 33,30 00,64 64,33 40,70 41,00 10,10 00,03 48,73 03,24 66,05 01,46 44,64 24,00 51,74 00,46 04,57 50,43 74,72 42,66 44,00 64,50 28,56 58,28 00,48 41,11 00,57 58,39 44,50 08,50 51,40 24,55 54,40 30,00 42,51 51,28 75,24 40,21 45,51 56,44 03,73 42,03 49,52 59,01 39,33 44,69 42
Principal Component 33,40 55,48 00,53 40,00 59,44 00,40 50,41 33,45 33,48 39,66 44,55 48,59 59,24 04,42 00,44 33,10 72,04 02,66 41,00 01,04 00,13 00,41 03,40 08,08 50,00 49,59 50,00 41,03 48,41 41,01 00,48 03,19 00,24 53,40 04,24 48,02 00,50 00,11 00,01 45,24 08,75 48,18 00,00 04,34 24,04 01,03 49,04 03,73 03,55 08,28 00,19 40,00 53,35 48,50 42,55 68,72 44,50 08,43 48,33 44,42 48,08 48,41 55,44 38,56 53,74 04,43 03,59 64,58 48,57 56,56 40,46 04,03 44,29 45,23 45,65 48,72 47,41 75,28 75,50 66,48 48,58 66,45 03,40 38,74 42,55 41,40 42,08 41,52 00,53 50,42 42,50 04,55 46,13 33,50 40,03 31,58 55,44 03,53 01,41 50,48 42
